date,territoryId,catalogItemId,catalogItemQty,normalizedTotalAmount,territory_encoded,item_encoded,dayofyear
2025-04-14,Abuja-Bwari,Abuja-BwariPeak Milk Filled Powder Sachet 12g CARTON (210.0 PC),2,13861.999999999998,0,0,104
2025-04-14,Embu,EmbuMt. Kenya Milk ESL 500ML CARTON (1.0 Item),5,2995.0,1,1,104
2025-04-14,Embu,EmbuPostman Cooking Oil 10L JERICAN (1.0 PC),1,2320.0,1,2,104
2025-04-14,Embu,EmbuPostman Cooking Oil 20L JERICAN (1.0 Item),1,4630.0,1,3,104
2025-04-14,Ibadan-Bodija,Ibadan-BodijaDano Milk Cool Cow 12g + Extra 10 Sachet HALF CARTON (135.0 PC),1,12557.0,2,4,104
2025-04-14,Ibadan-Bodija,Ibadan-BodijaDevon King's Cooking Oil 1000ml Sachet HALF CARTON (6 PCS),8,85811.0,2,5,104
2025-04-14,Ibadan-Bodija,Ibadan-BodijaDevon King's Cooking Oil 5L CARTON (4.0 PC),1,64089.99999999999,2,6,104
2025-04-14,Ibadan-Bodija,Ibadan-BodijaDevon Kings's Cooking Oil 10L JERICAN (1.0 PCS),1,21721.0,2,7,104
2025-04-14,Ibadan-Bodija,Ibadan-BodijaIndomie Noodles Oriental Fried 70g CARTON (40.0 PC),3,12557.0,2,8,104
2025-04-14,Ibadan-Bodija,Ibadan-BodijaMiksi Milk Plain 320g CARTON (12.0 PACKETS),1,64089.99999999999,2,9,104
2025-04-14,Igoma,IgomaSoftcare  Sanitary Pads purple CARTON (24.0 pcs),2,3933.0,3,10,104
2025-04-14,Jos-Central,Jos-CentralMaltina Malt Can 33cl*24 PACK (24.0 CANS),19,66120.0,4,11,104
2025-04-14,Kiambu,KiambuAmara Body Milk Lotion 400ml PC (1.0 Pc),1,3160.0,5,12,104
2025-04-14,Kiambu,KiambuArimis Petroleum Jelly 50G 12PC DOZEN (1.0 Dzn),1,3160.0,5,13,104
2025-04-14,Kiambu,KiambuHalisi Fry Cooking Oil 20L JERICAN (1.0 Item),2,11035.0,5,14,104
2025-04-14,Kiambu,KiambuMt. Kenya Milk ESL 200ML CARTON (1.0 Item),1,2280.0,5,15,104
